ristretto plugin loaded
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:149 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:151 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:154 MODIFIER_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:244 MODIFIER_NOT_ADDED
DefaultFieldImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:277 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:214 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:322 MODIFIER_ADDED
DefaultParameterImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:346 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:143 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:161 MODIFIER_NOT_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:165 MODIFIER_ADDED
DefaultLocalVariableImmutabilityRule /Users/tprado/workbench/guava/guava/src/com/google/common/base/FinalizableReferenceQueue.java:167 MODIFIER_ADDED
